,year,title,author,abstract,link,pdf,name
10,2019,Agnostic Federated Learning,"Mehryar Mohri,         Gary Sivek,         Ananda Theertha Suresh","A key learning scenario in large-scale applications is that of federated learning, where a centralized model is trained based on data originating from a large number of clients. We argue that, with the existing training and inference, federated models can be biased towards different clients. Instead, we propose a new framework of agnostic federated learning, where the centralized model is optimized for any target distribution formed by a mixture of the client distributions. We further show that this framework naturally yields a notion of fairness. We present data-dependent Rademacher complexity guarantees for learning with this objective, which guide the definition of an algorithm for agnostic federated learning. We also give a fast stochastic optimization algorithm for solving the corresponding optimization problem, for which we prove convergence bounds, assuming a convex loss function and a convex hypothesis set. We further empirically demonstrate the benefits of our approach in several datasets. Beyond federated learning, our framework and algorithm can be of interest to other learning scenarios such as cloud computing, domain adaptation, drifting, and other contexts where the training and test distributions do not coincide.",http://proceedings.mlr.press/v97/mohri19a.html,http://proceedings.mlr.press/v97/mohri19a/mohri19a.pdf,ICML
11,2019,Imitating Latent Policies from Observation,"Ashley Edwards,         Himanshu Sahni,         Yannick Schroecker,         Charles Isbell","In this paper, we describe a novel approach to imitation learning that infers latent policies directly from state observations. We introduce a method that characterizes the causal effects of latent actions on observations while simultaneously predicting their likelihood. We then outline an action alignment procedure that leverages a small amount of environment interactions to determine a mapping between the latent and real-world actions. We show that this corrected labeling can be used for imitating the observed behavior, even though no expert actions are given. We evaluate our approach within classic control environments and a platform game and demonstrate that it performs better than standard approaches. Code for this work is available at https://github.com/ashedwards/ILPO.",http://proceedings.mlr.press/v97/edwards19a.html,http://proceedings.mlr.press/v97/edwards19a/edwards19a.pdf,ICML
12,2019,Maximum Entropy-Regularized Multi-Goal Reinforcement Learning,"Rui Zhao,         Xudong Sun,         Volker Tresp","In Multi-Goal Reinforcement Learning, an agent learns to achieve multiple goals with a goal-conditioned policy. During learning, the agent first collects the trajectories into a replay buffer, and later these trajectories are selected randomly for replay. However, the achieved goals in the replay buffer are often biased towards the behavior policies. From a Bayesian perspective, when there is no prior knowledge about the target goal distribution, the agent should learn uniformly from diverse achieved goals. Therefore, we first propose a novel multi-goal RL objective based on weighted entropy. This objective encourages the agent to maximize the expected return, as well as to achieve more diverse goals. Secondly, we developed a maximum entropy-based prioritization framework to optimize the proposed objective. For evaluation of this framework, we combine it with Deep Deterministic Policy Gradient, both with or without Hindsight Experience Replay. On a set of multi-goal robotic tasks of OpenAI Gym, we compare our method with other baselines and show promising improvements in both performance and sample-efficiency.",http://proceedings.mlr.press/v97/zhao19d.html,http://proceedings.mlr.press/v97/zhao19d/zhao19d.pdf,ICML
13,2019,Sublinear quantum algorithms for training linear and kernel-based classifiers,"Tongyang Li,         Shouvanik Chakrabarti,         Xiaodi Wu","We investigate quantum algorithms for classification, a fundamental problem in machine learning, with provable guarantees. Given nnn ddd-dimensional data points, the state-of-the-art (and optimal) classical algorithm for training classifiers with constant margin by Clarkson et al. runs in O~(n+d)O~(n+d)\tilde{O}(n +d), which is also optimal in its input/output model. We design sublinear quantum algorithms for the same task running in O~(n−−√+d−−√)O~(n+d)\tilde{O}(\sqrt{n} +\sqrt{d}), a quadratic improvement in both nnn and ddd. Moreover, our algorithms use the standard quantization of the classical input and generate the same classical output, suggesting minimal overheads when used as subroutines for end-to-end applications. We also demonstrate a tight lower bound (up to poly-log factors) and discuss the possibility of implementation on near-term quantum machines.",http://proceedings.mlr.press/v97/li19b.html,http://proceedings.mlr.press/v97/li19b/li19b.pdf,ICML
14,2019,Approximating Orthogonal Matrices with Effective Givens Factorization,"Thomas Frerix,         Joan Bruna","We analyze effective approximation of unitary matrices. In our formulation, a unitary matrix is represented as a product of rotations in two-dimensional subspaces, so-called Givens rotations. Instead of the quadratic dimension dependence when applying a dense matrix, applying such an approximation scales with the number factors, each of which can be implemented efficiently. Consequently, in settings where an approximation is once computed and then applied many times, such a representation becomes advantageous. Although effective Givens factorization is not possible for generic unitary operators, we show that minimizing a sparsity-inducing objective with a coordinate descent algorithm on the unitary group yields good factorizations for structured matrices. Canonical applications of such a setup are orthogonal basis transforms. We demonstrate numerical results of approximating the graph Fourier transform, which is the matrix obtained when diagonalizing a graph Laplacian.",http://proceedings.mlr.press/v97/frerix19a.html,http://proceedings.mlr.press/v97/frerix19a/frerix19a.pdf,ICML
15,2019,Variational Implicit Processes,"Chao Ma,         Yingzhen Li,         Jose Miguel Hernandez-Lobato","We introduce the implicit processes (IPs), a stochastic process that places implicitly defined multivariate distributions over any finite collections of random variables. IPs are therefore highly flexible implicit priors over functions, with examples including data simulators, Bayesian neural networks and non-linear transformations of stochastic processes. A novel and efficient approximate inference algorithm for IPs, namely the variational implicit processes (VIPs), is derived using generalised wake-sleep updates. This method returns simple update equations and allows scalable hyper-parameter learning with stochastic optimization. Experiments show that VIPs return better uncertainty estimates and lower errors over existing inference methods for challenging models such as Bayesian neural networks, and Gaussian processes.",http://proceedings.mlr.press/v97/ma19b.html,http://proceedings.mlr.press/v97/ma19b/ma19b.pdf,ICML
16,2019,Good Initializations of Variational Bayes for Deep Models,"Simone Rossi,         Pietro Michiardi,         Maurizio Filippone","Stochastic variational inference is an established way to carry out approximate Bayesian inference for deep models flexibly and at scale. While there have been effective proposals for good initializations for loss minimization in deep learning, far less attention has been devoted to the issue of initialization of stochastic variational inference. We address this by proposing a novel layer-wise initialization strategy based on Bayesian linear models. The proposed method is extensively validated on regression and classification tasks, including Bayesian Deep Nets and Conv Nets, showing faster and better convergence compared to alternatives inspired by the literature on initializations for loss minimization.",http://proceedings.mlr.press/v97/rossi19a.html,http://proceedings.mlr.press/v97/rossi19a/rossi19a.pdf,ICML
17,2019,Gradient Descent Finds Global Minima of Deep Neural Networks,"Simon Du,         Jason Lee,         Haochuan Li,         Liwei Wang,         Xiyu Zhai",Gradient descent finds a global minimum in training deep neural networks despite the objective function being non-convex. The current paper proves gradient descent achieves zero training loss in polynomial time for a deep over-parameterized neural network with residual connections (ResNet). Our analysis relies on the particular structure of the Gram matrix induced by the neural network architecture. This structure allows us to show the Gram matrix is stable throughout the training process and this stability implies the global optimality of the gradient descent algorithm. We further extend our analysis to deep residual convolutional neural networks and obtain a similar convergence result.,http://proceedings.mlr.press/v97/du19c.html,http://proceedings.mlr.press/v97/du19c/du19c.pdf,ICML
18,2019,Neural Separation of Observed and Unobserved Distributions,"Tavi Halperin,         Ariel Ephrat,         Yedid Hoshen","Separating mixed distributions is a long standing challenge for machine learning and signal processing. Most current methods either rely on making strong assumptions on the source distributions or rely on having training samples of each source in the mixture. In this work, we introduce a new method—Neural Egg Separation—to tackle the scenario of extracting a signal from an unobserved distribution additively mixed with a signal from an observed distribution. Our method iteratively learns to separate the known distribution from progressively finer estimates of the unknown distribution. In some settings, Neural Egg Separation is initialization sensitive, we therefore introduce Latent Mixture Masking which ensures a good initialization. Extensive experiments on audio and image separation tasks show that our method outperforms current methods that use the same level of supervision, and often achieves similar performance to full supervision.",http://proceedings.mlr.press/v97/halperin19a.html,http://proceedings.mlr.press/v97/halperin19a/halperin19a.pdf,ICML
19,2019,Random Matrix Improved Covariance Estimation for a Large Class of Metrics,"Malik Tiomoko,         Romain Couillet,         Florent Bouchard,         Guillaume Ginolhac","Relying on recent advances in statistical estimation of covariance distances based on random matrix theory, this article proposes an improved covariance and precision matrix estimation for a wide family of metrics. The method is shown to largely outperform the sample covariance matrix estimate and to compete with state-of-the-art methods, while at the same time being computationally simpler and faster. Applications to linear and quadratic discriminant analyses also show significant gains, therefore suggesting practical interest to statistical machine learning.",http://proceedings.mlr.press/v97/tiomoko19a.html,http://proceedings.mlr.press/v97/tiomoko19a/tiomoko19a.pdf,ICML
20,2019,Curiosity-Bottleneck: Exploration By Distilling Task-Specific Novelty,"Youngjin Kim,         Wontae Nam,         Hyunwoo Kim,         Ji-Hoon Kim,         Gunhee Kim","Exploration based on state novelty has brought great success in challenging reinforcement learning problems with sparse rewards. However, existing novelty-based strategies become inefficient in real-world problems where observation contains not only task-dependent state novelty of our interest but also task-irrelevant information that should be ignored. We introduce an information- theoretic exploration strategy named Curiosity-Bottleneck that distills task-relevant information from observation. Based on the information bottleneck principle, our exploration bonus is quantified as the compressiveness of observation with respect to the learned representation of a compressive value network. With extensive experiments on static image classification, grid-world and three hard-exploration Atari games, we show that Curiosity-Bottleneck learns an effective exploration strategy by robustly measuring the state novelty in distractive environments where state-of-the-art exploration methods often degenerate.",http://proceedings.mlr.press/v97/kim19c.html,http://proceedings.mlr.press/v97/kim19c/kim19c.pdf,ICML
21,2019,Unsupervised Deep Learning by Neighbourhood Discovery,"Jiabo Huang,         Qi Dong,         Shaogang Gong,         Xiatian Zhu","Deep convolutional neural networks (CNNs) have demonstrated remarkable success in computer vision by supervisedly learning strong visual feature representations. However, training CNNs relies heavily on the availability of exhaustive training data annotations, limiting significantly their deployment and scalability in many application scenarios. In this work, we introduce a generic unsupervised deep learning approach to training deep models without the need for any manual label supervision. Specifically, we progressively discover sample anchored/centred neighbourhoods to reason and learn the underlying class decision boundaries iteratively and accumulatively. Every single neighbourhood is specially formulated so that all the member samples can share the same unseen class labels at high probability for facilitating the extraction of class discriminative feature representations during training. Experiments on image classification show the performance advantages of the proposed method over the state-of-the-art unsupervised learning models on six benchmarks including both coarse-grained and fine-grained object image categorisation.",http://proceedings.mlr.press/v97/huang19b.html,http://proceedings.mlr.press/v97/huang19b/huang19b.pdf,ICML
22,2019,Generalized Majorization-Minimization,"Sobhan Naderi Parizi,         Kun He,         Reza Aghajani,         Stan Sclaroff,         Pedro Felzenszwalb","Non-convex optimization is ubiquitous in machine learning. Majorization-Minimization (MM) is a powerful iterative procedure for optimizing non-convex functions that works by optimizing a sequence of bounds on the function. In MM, the bound at each iteration is required to touch the objective function at the optimizer of the previous bound. We show that this touching constraint is unnecessary and overly restrictive. We generalize MM by relaxing this constraint, and propose a new optimization framework, named Generalized Majorization-Minimization (G-MM), that is more flexible. For instance, G-MM can incorporate application-specific biases into the optimization procedure without changing the objective function. We derive G-MM algorithms for several latent variable models and show empirically that they consistently outperform their MM counterparts in optimizing non-convex objectives. In particular, G-MM algorithms appear to be less sensitive to initialization.",http://proceedings.mlr.press/v97/parizi19a.html,http://proceedings.mlr.press/v97/parizi19a/parizi19a.pdf,ICML
23,2019,Gaining Free or Low-Cost Interpretability with Interpretable Partial Substitute,Tong Wang,"This work addresses the situation where a black-box model with good predictive performance is chosen over its interpretable competitors, and we show interpretability is still achievable in this case. Our solution is to find an interpretable substitute on a subset of data where the black-box model is overkill or nearly overkill while leaving the rest to the black-box. This transparency is obtained at minimal cost or no cost of the predictive performance. Under this framework, we develop a Hybrid Rule Sets (HyRS) model that uses decision rules to capture the subspace of data where the rules are as accurate or almost as accurate as the black-box provided. To train a HyRS, we devise an efficient search algorithm that iteratively finds the optimal model and exploits theoretically grounded strategies to reduce computation. Our framework is agnostic to the black-box during training. Experiments on structured and text data show that HyRS obtains an effective trade-off between transparency and interpretability.",http://proceedings.mlr.press/v97/wang19a.html,http://proceedings.mlr.press/v97/wang19a/wang19a.pdf,ICML
24,2019,Fairwashing: the risk of rationalization,"Ulrich Aivodji,         Hiromi Arai,         Olivier Fortineau,         Sébastien Gambs,         Satoshi Hara,         Alain Tapp","Black-box explanation is the problem of explaining how a machine learning model – whose internal logic is hidden to the auditor and generally complex – produces its outcomes. Current approaches for solving this problem include model explanation, outcome explanation as well as model inspection. While these techniques can be beneficial by providing interpretability, they can be used in a negative manner to perform fairwashing, which we define as promoting the false perception that a machine learning model respects some ethical values. In particular, we demonstrate that it is possible to systematically rationalize decisions taken by an unfair black-box model using the model explanation as well as the outcome explanation approaches with a given fairness metric. Our solution, LaundryML, is based on a regularized rule list enumeration algorithm whose objective is to search for fair rule lists approximating an unfair black-box model. We empirically evaluate our rationalization technique on black-box models trained on real-world datasets and show that one can obtain rule lists with high fidelity to the black-box model while being considerably less unfair at the same time.",http://proceedings.mlr.press/v97/aivodji19a.html,http://proceedings.mlr.press/v97/aivodji19a/aivodji19a.pdf,ICML
25,2019,Random Expert Distillation: Imitation Learning via Expert Policy Support Estimation,"Ruohan Wang,         Carlo Ciliberto,         Pierluigi Vito Amadori,         Yiannis Demiris","We consider the problem of imitation learning from a finite set of expert trajectories, without access to reinforcement signals. The classical approach of extracting the expert’s reward function via inverse reinforcement learning, followed by reinforcement learning is indirect and may be computationally expensive. Recent generative adversarial methods based on matching the policy distribution between the expert and the agent could be unstable during training. We propose a new framework for imitation learning by estimating the support of the expert policy to compute a fixed reward function, which allows us to re-frame imitation learning within the standard reinforcement learning setting. We demonstrate the efficacy of our reward function on both discrete and continuous domains, achieving comparable or better performance than the state of the art under different reinforcement learning algorithms.",http://proceedings.mlr.press/v97/wang19d.html,http://proceedings.mlr.press/v97/wang19d/wang19d.pdf,ICML
26,2019,Trainable Decoding of Sets of Sequences for Neural Sequence Models,"Ashwin Kalyan,         Peter Anderson,         Stefan Lee,         Dhruv Batra","Many sequence prediction tasks admit multiple correct outputs and so, it is often useful to decode a set of outputs that maximize some task-specific set-level metric. However, retooling standard sequence prediction procedures tailored towards predicting the single best output leads to the decoding of sets containing very similar sequences; failing to capture the variation in the output space. To address this, we propose ∇∇\nablaBS, a trainable decoding procedure that outputs a set of sequences, highly valued according to the metric. Our method tightly integrates the training and decoding phases and further allows for the optimization of the task-specific metric addressing the shortcomings of standard sequence prediction. Further, we discuss the trade-offs of commonly used set-level metrics and motivate a new set-level metric that naturally evaluates the notion of “capturing the variation in the output space”. Finally, we show results on the image captioning task and find that our model outperforms standard techniques and natural ablations.",http://proceedings.mlr.press/v97/kalyan19a.html,http://proceedings.mlr.press/v97/kalyan19a/kalyan19a.pdf,ICML
27,2019,Fast Context Adaptation via Meta-Learning,"Luisa Zintgraf,         Kyriacos Shiarli,         Vitaly Kurin,         Katja Hofmann,         Shimon Whiteson","We propose CAVIA for meta-learning, a simple extension to MAML that is less prone to meta-overfitting, easier to parallelise, and more interpretable. CAVIA partitions the model parameters into two parts: context parameters that serve as additional input to the model and are adapted on individual tasks, and shared parameters that are meta-trained and shared across tasks. At test time, only the context parameters are updated, leading to a low-dimensional task representation. We show empirically that CAVIA outperforms MAML for regression, classification, and reinforcement learning. Our experiments also highlight weaknesses in current benchmarks, in that the amount of adaptation needed in some cases is small.",http://proceedings.mlr.press/v97/zintgraf19a.html,http://proceedings.mlr.press/v97/zintgraf19a/zintgraf19a.pdf,ICML
28,2019,Concrete Autoencoders: Differentiable Feature Selection and Reconstruction,"Muhammed Fatih Balın,         Abubakar Abid,         James Zou","We introduce the concrete autoencoder, an end-to-end differentiable method for global feature selection, which efficiently identifies a subset of the most informative features and simultaneously learns a neural network to reconstruct the input data from the selected features. Our method is unsupervised, and is based on using a concrete selector layer as the encoder and using a standard neural network as the decoder. During the training phase, the temperature of the concrete selector layer is gradually decreased, which encourages a user-specified number of discrete features to be learned; during test time, the selected features can be used with the decoder network to reconstruct the remaining input features. We evaluate concrete autoencoders on a variety of datasets, where they significantly outperform state-of-the-art methods for feature selection and data reconstruction. In particular, on a large-scale gene expression dataset, the concrete autoencoder selects a small subset of genes whose expression levels can be used to impute the expression levels of the remaining genes; in doing so, it improves on the current widely-used expert-curated L1000 landmark genes, potentially reducing measurement costs by 20%. The concrete autoencoder can be implemented by adding just a few lines of code to a standard autoencoder, and the code for the algorithm and experiments is publicly available.",http://proceedings.mlr.press/v97/balin19a.html,http://proceedings.mlr.press/v97/balin19a/balin19a.pdf,ICML
29,2019,Dead-ends and Secure Exploration in Reinforcement Learning,"Mehdi Fatemi,         Shikhar Sharma,         Harm Van Seijen,         Samira Ebrahimi Kahou","Many interesting applications of reinforcement learning (RL) involve MDPs that include numerous “dead-end"" states. Upon reaching a dead-end state, the agent continues to interact with the environment in a dead-end trajectory before reaching an undesired terminal state, regardless of whatever actions are chosen. The situation is even worse when existence of many dead-end states is coupled with distant positive rewards from any initial state (we term this as Bridge Effect). Hence, conventional exploration techniques often incur prohibitively many training steps before convergence. To deal with the bridge effect, we propose a condition for exploration, called security. We next establish formal results that translate the security condition into the learning problem of an auxiliary value function. This new value function is used to cap “any"" given exploration policy and is guaranteed to make it secure. As a special case, we use this theory and introduce secure random-walk. We next extend our results to the deep RL settings by identifying and addressing two main challenges that arise. Finally, we empirically compare secure random-walk with standard benchmarks in two sets of experiments including the Atari game of Montezuma’s Revenge.",http://proceedings.mlr.press/v97/fatemi19a.html,http://proceedings.mlr.press/v97/fatemi19a/fatemi19a.pdf,ICML
30,2019,Distributional Multivariate Policy Evaluation and Exploration with the Bellman GAN,"Dror Freirich,         Tzahi Shimkin,         Ron Meir,         Aviv Tamar","The recently proposed distributional approach to reinforcement learning (DiRL) is centered on learning the distribution of the reward-to-go, often referred to as the value distribution. In this work, we show that the distributional Bellman equation, which drives DiRL methods, is equivalent to a generative adversarial network (GAN) model. In this formulation, DiRL can be seen as learning a deep generative model of the value distribution, driven by the discrepancy between the distribution of the current value, and the distribution of the sum of current reward and next value. We use this insight to propose a GAN-based approach to DiRL, which leverages the strengths of GANs in learning distributions of high dimensional data. In particular, we show that our GAN approach can be used for DiRL with multivariate rewards, an important setting which cannot be tackled with prior methods. The multivariate setting also allows us to unify learning the distribution of values and state transitions, and we exploit this idea to devise a novel exploration method that is driven by the discrepancy in estimating both values and states.",http://proceedings.mlr.press/v97/freirich19a.html,http://proceedings.mlr.press/v97/freirich19a/freirich19a.pdf,ICML
31,2019,A Kernel Theory of Modern Data Augmentation,"Tri Dao,         Albert Gu,         Alexander Ratner,         Virginia Smith,         Chris De Sa,         Christopher Re","Data augmentation, a technique in which a training set is expanded with class-preserving transformations, is ubiquitous in modern machine learning pipelines. In this paper, we seek to establish a theoretical framework for understanding data augmentation. We approach this from two directions: First, we provide a general model of augmentation as a Markov process, and show that kernels appear naturally with respect to this model, even when we do not employ kernel classification. Next, we analyze more directly the effect of augmentation on kernel classifiers, showing that data augmentation can be approximated by first-order feature averaging and second-order variance regularization components. These frameworks both serve to illustrate the ways in which data augmentation affects the downstream learning model, and the resulting analyses provide novel connections between prior work in invariant kernels, tangent propagation, and robust optimization. Finally, we provide several proof-of-concept applications showing that our theory can be useful for accelerating machine learning workflows, such as reducing the amount of computation needed to train using augmented data, and predicting the utility of a transformation prior to training.",http://proceedings.mlr.press/v97/dao19b.html,http://proceedings.mlr.press/v97/dao19b/dao19b.pdf,ICML
